Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,15.100000,15.500000,15.000000,15.100000,7.707700,1240000
2000-01-05,14.800000,15.050000,14.700000,14.850000,7.580087,4770000
2000-01-06,14.950000,15.000000,14.200000,14.400000,7.350388,2440000
2000-01-07,14.400000,14.800000,14.300000,14.600000,7.452478,2164000
2000-01-10,15.000000,15.000000,14.650000,14.650000,7.477999,1196268
2000-01-11,14.800000,15.200000,14.600000,14.600000,7.452478,1777000
2000-01-12,14.450000,15.000000,14.450000,14.750000,7.529044,753000
2000-01-13,14.750000,14.750000,14.550000,14.750000,7.529044,938000
2000-01-14,14.500000,14.950000,14.450000,14.550000,7.426958,1623000
2000-01-17,14.700000,14.700000,14.400000,14.450000,7.375912,1535000
2000-01-18,14.450000,14.450000,14.300000,14.400000,7.350388,1298000
2000-01-19,14.350000,14.350000,14.050000,14.300000,7.299344,2619000
2000-01-20,14.200000,14.500000,14.050000,14.150000,7.222778,745000
2000-01-21,14.050000,14.150000,14.050000,14.050000,7.171735,1218000
2000-01-24,14.200000,14.350000,14.050000,14.150000,7.222778,773260
2000-01-25,14.000000,14.000000,13.500000,13.900000,7.095167,1540000
2000-01-26,13.850000,14.350000,13.850000,14.100000,7.197258,820000
2000-01-27,14.150000,14.150000,13.800000,13.900000,7.095167,1530000
2000-01-28,14.100000,14.100000,13.800000,13.900000,7.095167,2301000
2000-01-31,13.700000,13.850000,13.550000,13.850000,7.069645,856000
2000-02-01,13.500000,13.800000,13.500000,13.800000,7.044122,795000
2000-02-02,13.700000,14.100000,13.500000,13.750000,7.018601,631000
2000-02-03,13.850000,14.400000,13.700000,13.750000,7.018601,1829000
2000-02-04,13.750000,13.750000,13.750000,13.750000,7.018601,0
2000-02-07,13.750000,13.750000,13.750000,13.750000,7.018601,0
2000-02-08,13.750000,13.750000,13.300000,13.350000,6.814422,987000
2000-02-09,13.500000,14.000000,13.200000,13.900000,7.095167,1405000
2000-02-10,13.900000,13.900000,13.300000,13.400000,6.839946,1222000
2000-02-11,13.400000,13.400000,13.000000,13.200000,6.737858,1367000
2000-02-14,13.200000,13.400000,13.000000,13.000000,6.635767,1891175
2000-02-15,13.000000,13.250000,12.950000,12.950000,6.610244,1130000
2000-02-16,13.050000,13.350000,13.000000,13.200000,6.737858,1223000
2000-02-17,13.200000,13.400000,13.100000,13.300000,6.788899,1178000
2000-02-18,13.000000,13.300000,13.000000,13.150000,6.712335,938000
2000-02-21,13.000000,13.000000,12.550000,12.650000,6.457113,1687000
2000-02-22,12.650000,12.650000,11.500000,11.900000,6.074281,4244000
2000-02-23,12.200000,12.200000,11.850000,11.950000,6.099802,1162000
2000-02-24,12.000000,12.100000,11.700000,11.700000,5.972193,1527000
2000-02-25,11.800000,11.800000,11.100000,11.250000,5.742493,3544525
2000-02-28,11.200000,11.400000,10.600000,10.700000,5.461747,2062000
2000-02-29,11.100000,11.100000,10.600000,10.650000,5.436225,4181750
2000-03-01,10.700000,10.750000,10.250000,10.300000,5.257568,2270000
2000-03-02,10.400000,10.500000,10.150000,10.300000,5.257568,1889905
2000-03-03,10.500000,10.850000,10.300000,10.650000,5.436225,4151600
2000-03-06,11.000000,11.250000,10.650000,11.200000,5.716969,3538000
2000-03-07,11.000000,14.900000,11.000000,14.900000,7.605609,17787000
2000-03-08,14.800000,16.350000,14.300000,15.650000,7.988443,14728774
2000-03-09,15.650000,16.200001,14.450000,14.600000,7.452478,8045000
2000-03-10,14.600000,15.100000,13.800000,14.300000,7.299344,3305690
2000-03-13,14.500000,15.250000,14.400000,14.550000,7.426958,3681800
2000-03-14,14.800000,15.000000,14.650000,14.750000,7.529044,2197000
2000-03-15,14.750000,14.750000,14.100000,14.150000,7.222778,1634000
2000-03-16,14.300000,14.300000,13.100000,13.400000,6.839946,1874000
2000-03-17,14.000000,14.200000,13.600000,13.950000,7.120692,2099000
2000-03-20,13.800000,13.800000,13.550000,13.600000,6.942037,1383000
2000-03-21,13.850000,14.050000,13.600000,13.750000,7.018601,1359360
2000-03-22,14.150000,14.200000,13.800000,13.900000,7.095167,1042000
2000-03-23,14.200000,14.200000,13.950000,14.050000,7.171735,1064000
2000-03-24,14.300000,14.350000,14.000000,14.350000,7.324867,938000
2000-03-27,14.500000,15.000000,14.500000,14.950000,7.631133,2914000
2000-03-28,14.900000,15.150000,14.800000,14.950000,7.631133,1763000
2000-03-29,14.800000,14.850000,14.500000,14.500000,7.401431,785000
2000-03-30,14.500000,14.900000,14.200000,14.400000,7.350388,1566000
2000-03-31,14.300000,14.400000,14.250000,14.300000,7.299344,747000
2000-04-03,14.400000,14.400000,14.050000,14.100000,7.197258,1389000
2000-04-04,14.100000,14.100000,14.100000,14.100000,7.197258,0
2000-04-05,14.000000,14.300000,13.500000,13.500000,6.890993,2653000
2000-04-06,13.600000,13.900000,13.600000,13.900000,7.095167,1203000
2000-04-07,14.000000,14.000000,13.600000,13.600000,6.942037,1022225
2000-04-10,13.700000,13.750000,13.500000,13.600000,6.942037,470000
2000-04-11,13.600000,13.750000,13.500000,13.700000,6.993079,507000
2000-04-12,13.700000,14.100000,13.700000,14.050000,7.171735,1017000
2000-04-13,13.900000,13.900000,13.000000,13.100000,6.686812,2034000
2000-04-14,13.150000,13.150000,12.800000,12.900000,6.584724,1630300
2000-04-17,12.300000,12.450000,12.000000,12.300000,6.278458,2116000
2000-04-18,12.350000,12.550000,12.150000,12.350000,6.303980,1832654
2000-04-19,12.600000,12.800000,12.500000,12.550000,6.406070,1476000
2000-04-20,12.400000,12.600000,12.300000,12.500000,6.380547,1658000
2000-04-21,12.500000,12.500000,12.500000,12.500000,6.380547,0
2000-04-24,12.500000,12.500000,12.500000,12.500000,6.380547,0
2000-04-25,12.900000,12.900000,12.650000,12.850000,6.559202,485000
2000-04-26,13.100000,13.100000,12.650000,12.700000,6.482634,795000
2000-04-27,12.650000,12.700000,12.500000,12.600000,6.431591,702000
2000-04-28,12.300000,12.450000,12.250000,12.300000,6.426366,353000
2000-05-01,12.300000,12.300000,12.300000,12.300000,6.426366,0
2000-05-02,12.550000,12.550000,12.050000,12.100000,6.321873,899000
2000-05-03,12.000000,12.150000,12.000000,12.050000,6.295748,528000
2000-05-04,12.000000,12.150000,12.000000,12.100000,6.321873,344000
2000-05-05,12.200000,12.700000,12.200000,12.600000,6.583106,969000
2000-05-08,12.650000,12.700000,12.150000,12.150000,6.347994,678123
2000-05-09,12.150000,12.150000,12.150000,12.150000,6.347994,0
2000-05-10,12.250000,12.250000,11.950000,12.150000,6.347994,761000
2000-05-11,12.150000,12.150000,12.150000,12.150000,6.347994,0
2000-05-12,12.100000,12.650000,12.000000,12.550000,6.556983,1045000
2000-05-15,12.500000,12.500000,12.300000,12.450000,6.504736,347000
2000-05-16,12.250000,12.600000,12.100000,12.600000,6.583106,793000
2000-05-17,12.600000,13.050000,12.500000,13.000000,6.792093,2457207
2000-05-18,12.800000,12.800000,12.350000,12.550000,6.556983,1487652
2000-05-19,12.650000,13.700000,12.500000,13.500000,7.053328,2866616
2000-05-22,13.050000,13.500000,13.050000,13.400000,7.001081,1518000
2000-05-23,13.400000,13.500000,13.000000,13.150000,6.870463,966200
2000-05-24,13.000000,13.150000,12.700000,13.050000,6.818218,1139000
2000-05-25,13.200000,13.250000,12.900000,13.000000,6.792093,2353000
2000-05-26,12.900000,12.900000,12.600000,12.750000,6.661476,1294000
2000-05-29,12.250000,12.600000,12.250000,12.500000,6.530860,289000
2000-05-30,12.500000,12.500000,12.500000,12.500000,6.530860,0
2000-05-31,13.400000,13.700000,13.300000,13.350000,6.974957,1569000
2000-06-01,13.400000,13.500000,13.100000,13.450000,7.027205,757000
2000-06-02,13.650000,13.650000,13.000000,13.150000,6.870463,836000
